CODCP_INEI,CODCCPP,CEN_POB,CODGEO,D_DPTO,D_PROV,D_DIST,D_REGION,REGION
201050001,129688,CENTENARIO,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201010001,114517,HUARUPAMPA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
,610619,LA SOLEDAD,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201050064,124291,MARIAN,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050080,234062,ACOPAMPA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201010001,114517,HUARAZ,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
,558358,VILLON ALTO,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201050071,130114,UNCHUS,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050001,129688,SHANCAYAN,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
,228103,MONTERREY,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050061,568874,LLUPA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201010008,246840,COILLOR / KEROPAMPA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201050028,115983,UQUIA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050048,120316,HUANCHAC,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
,566185,ACOVICHAY,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201010072,124298,HUALLCOR,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010088,130556,HUAMARIN,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201050029,125150,PARIA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050009,110271,CHONTAYOC,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050001,129688,VICHAY,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
,126450,PEDREGAL,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
,560985,SAN FRANCISCO,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201050001,129688,PALMIRA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
,121143,VICHAY,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
,566185,INDEPENDENCIA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050059,215082,PICUT / PICUP,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050075,225301,COCHAC,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050066,542415,PACCHA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050118,115459,CURHUAS,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050060,116438,RIVAS,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050070,222967,CANTU,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050037,548784,JINUA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
,533462,LOS PINOS,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201050020,244640,MATCOR,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050027,111339,MARCAC,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050057,514003,PONGOR,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050013,114451,SECSEPAMPA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050030,110836,CHEQUIO,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050011,221005,ACLLA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050008,235880,SAN MIGUEL DE TINYASH,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050034,118879,SHECTA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050015,614545,OCSHARUTUNA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201010048,518353,SAN NICOLAS,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010078,239851,JAUNA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010101,234352,SANTA CATALINA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010059,241635,SHANSHA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010039,116759,TOCLLA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201050084,236952,ATIPAYAN,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201010053,236929,CHILCA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010071,127557,SANTA CRUZ,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010178,117499,QUESHCA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010090,559531,COLLCAPAMPA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010107,123875,CUTACANCHA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010049,526547,YANACOSHCA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
,125582,ICHOCA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201050078,124452,MITUCRO,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050073,219842,QUENUAYOC,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050090,220130,CANSHAN,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
,114674,TACLLAN,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010013,535347,JANCU,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010047,131096,HACIENDA PURUCUTA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201050092,566425,HUAUYAHUILLCA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201010062,245919,SAN PEDRO,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201080005,525491,MASHUAN / SAN CRISTOBAL DE MASHUAN,20108,ANCASH,HUARAZ,OLLEROS,DRE ANCASH,ANCASH
201050007,115904,CHURAP,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050014,113183,CHICNEY,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050001,129688,NICRUPAMPA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050076,549088,CASHACANCHA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050081,521912,CHINCAY,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050053,618118,YARUSH,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050024,133219,SAN MIGUEL DE RECRESH,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201050006,549491,CARIANPAMPA,20105,ANCASH,HUARAZ,INDEPENDENCIA,DRE ANCASH,ANCASH
201010034,235475,PURUSH,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010098,522447,SAN CRISTOBALL DE CHAMANAYOC,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201010093,652492,PROGRESO,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201120008,516753,SHINUA,20112,ANCASH,HUARAZ,TARICA,DRE ANCASH,ANCASH
201080019,527885,HUARIPAMPA,20108,ANCASH,HUARAZ,OLLEROS,DRE ANCASH,ANCASH
201010037,132223,MACASHCA,20101,ANCASH,HUARAZ,HUARAZ,DRE ANCASH,ANCASH
201020001,128944,COCHABAMBA,20102,ANCASH,HUARAZ,COCHABAMBA,DRE ANCASH,ANCASH
201020004,111142,MIRAMAR,20102,ANCASH,HUARAZ,COCHABAMBA,DRE ANCASH,ANCASH
201020023,114804,PUMA PUCLLANAM,20102,ANCASH,HUARAZ,COCHABAMBA,DRE ANCASH,ANCASH
201020019,122764,PACHE,20102,ANCASH,HUARAZ,COCHABAMBA,DRE ANCASH,ANCASH
201020032,115685,PALLAC,20102,ANCASH,HUARAZ,COCHABAMBA,DRE ANCASH,ANCASH
201020064,224985,CHIPRE,20102,ANCASH,HUARAZ,COCHABAMBA,DRE ANCASH,ANCASH
201020026,120201,UPACOTO,20102,ANCASH,HUARAZ,COCHABAMBA,DRE ANCASH,ANCASH
201020022,521681,CUNCO,20102,ANCASH,HUARAZ,COCHABAMBA,DRE ANCASH,ANCASH
201030001,131357,COLCABAMBA,20103,ANCASH,HUARAZ,COLCABAMBA,DRE ANCASH,ANCASH
201060001,123301,JANGAS,20106,ANCASH,HUARAZ,JANGAS,DRE ANCASH,ANCASH
201060005,129471,JAHUA,20106,ANCASH,HUARAZ,JANGAS,DRE ANCASH,ANCASH
201060037,131095,HUANJA,20106,ANCASH,HUARAZ,JANGAS,DRE ANCASH,ANCASH
201060012,119163,ATUPA,20106,ANCASH,HUARAZ,JANGAS,DRE ANCASH,ANCASH
201060014,226780,MATAQUITA,20106,ANCASH,HUARAZ,JANGAS,DRE ANCASH,ANCASH
201060013,241686,MARENIYOC,20106,ANCASH,HUARAZ,JANGAS,DRE ANCASH,ANCASH
201060007,112271,CHAQUECYACO,20106,ANCASH,HUARAZ,JANGAS,DRE ANCASH,ANCASH
201060016,652488,CAHUISH,20106,ANCASH,HUARAZ,JANGAS,DRE ANCASH,ANCASH
201120002,540668,JIUYA,20112,ANCASH,HUARAZ,TARICA,DRE ANCASH,ANCASH
201120011,512037,URUS / URUSPAMPA,20112,ANCASH,HUARAZ,TARICA,DRE ANCASH,ANCASH
201070001,127680,CAJAMARQUILLA,20107,ANCASH,HUARAZ,LA LIBERTAD,DRE ANCASH,ANCASH
201070041,121549,CHULLOC,20107,ANCASH,HUARAZ,LA LIBERTAD,DRE ANCASH,ANCASH
201070012,116283,ARCASH,20107,ANCASH,HUARAZ,LA LIBERTAD,DRE ANCASH,ANCASH
201070025,131621,HUELLAP,20107,ANCASH,HUARAZ,LA LIBERTAD,DRE ANCASH,ANCASH
201070044,111380,SHIPASH HUAIN,20107,ANCASH,HUARAZ,LA LIBERTAD,DRE ANCASH,ANCASH
201060004,510985,LLUNCO,20106,ANCASH,HUARAZ,JANGAS,DRE ANCASH,ANCASH
201080008,115410,ACO,20108,ANCASH,HUARAZ,OLLEROS,DRE ANCASH,ANCASH
201080006,540506,SAN CRISTOBAL DE YUPANAPAMPA,20108,ANCASH,HUARAZ,OLLEROS,DRE ANCASH,ANCASH
201080001,128663,OLLEROS,20108,ANCASH,HUARAZ,OLLEROS,DRE ANCASH,ANCASH
201080009,126097,TAYAPAMPA,20108,ANCASH,HUARAZ,OLLEROS,DRE ANCASH,ANCASH
201080007,116598,LLOCLLA,20108,ANCASH,HUARAZ,OLLEROS,DRE ANCASH,ANCASH
201090001,129119,PAMPAS GRANDE,20109,ANCASH,HUARAZ,PAMPAS GRANDE,DRE ANCASH,ANCASH
201090018,229726,CULLASH,20109,ANCASH,HUARAZ,PAMPAS GRANDE,DRE ANCASH,ANCASH
201090047,127136,SHANCAC,20109,ANCASH,HUARAZ,PAMPAS GRANDE,DRE ANCASH,ANCASH
201090033,122754,LA VICTORIA,20109,ANCASH,HUARAZ,PAMPAS GRANDE,DRE ANCASH,ANCASH
201090090,113430,CHORRILLOS,20109,ANCASH,HUARAZ,PAMPAS GRANDE,DRE ANCASH,ANCASH
201090098,130408,SAN JUAN,20109,ANCASH,HUARAZ,PAMPAS GRANDE,DRE ANCASH,ANCASH
201090044,124679,HUANLLA,20109,ANCASH,HUARAZ,PAMPAS GRANDE,DRE ANCASH,ANCASH
201090005,517958,VINCHOTA,20109,ANCASH,HUARAZ,PAMPAS GRANDE,DRE ANCASH,ANCASH
201100001,126558,PARIACOTO,20110,ANCASH,HUARAZ,PARIACOTO,DRE ANCASH,ANCASH
201100006,112112,RACRAO / SAN CRISTOBAL DE RACRAO,20110,ANCASH,HUARAZ,PARIACOTO,DRE ANCASH,ANCASH
201100013,124954,VITOCA,20110,ANCASH,HUARAZ,PARIACOTO,DRE ANCASH,ANCASH
201100031,225298,MARCOCANCHA,20110,ANCASH,HUARAZ,PARIACOTO,DRE ANCASH,ANCASH
201100028,542907,FORTALEZA,20110,ANCASH,HUARAZ,PARIACOTO,DRE ANCASH,ANCASH
201100020,125625,PAMPAN,20110,ANCASH,HUARAZ,PARIACOTO,DRE ANCASH,ANCASH
201100022,113690,RURASHCA,20110,ANCASH,HUARAZ,PARIACOTO,DRE ANCASH,ANCASH
208040053,537487,31 DE MAYO,20110,ANCASH,HUARAZ,PARIACOTO,DRE ANCASH,ANCASH
201100023,515978,RAPOYA,20110,ANCASH,HUARAZ,PARIACOTO,DRE ANCASH,ANCASH
